alpha,beta,mu_lat,var_lat,c,d,k_1,k_2,stb_1,stb_2,mu_1,mu_2,p_ber
0.00169603,1.03514,2.39331,4.27523,2.79011,2,0.0149677,10,1,1,9.42822e-05,9.53013e-06,0.0311585
0.00213788,1.03514,2.39331,4.10238,4.1624,2,0.0149677,10,1,1,9.42822e-05,9.53013e-06,0.0311585
0.00330838,0.714055,2.39331,3.99026,4.1624,2,0.065694,10,1,1,9.42822e-05,9.53013e-06,0.0311585
0.00330838,1.28717,2.39331,3.98735,4.81243,2,0.065694,10,1,1,9.42822e-05,1.17965e-05,0.0311585
0.0047213,0.712368,1.79957,3.98735,4.81243,2,0.0915442,10,1,1,9.42822e-05,1.17965e-05,0.0311585
0.00423931,1.19484,1.79957,4.00944,3.68436,2,0.0894265,10,1,1,9.42822e-05,1.17965e-05,0.0311555
0.00293902,1.19484,1.75054,4.15632,3.68436,2,0.0580697,10,1,1,9.92896e-05,1.17965e-05,0.0311555
0.000635711,1.19484,1.75054,4.24255,4.23822,2,0.0703822,10,1,1,9.92896e-05,1.17965e-05,0.0311555
0.000635711,0.868465,1.75054,4.24255,4.40312,2,0.0767749,10,1,1,0.000100306,1.17965e-05,0.0311555
0.000635711,0.828893,2.74923,4.23984,4.42676,2,0.0608444,10,1,1,0.000108091,1.17965e-05,0.0311555
0.000594629,0.542103,2.09582,3.833,4.42676,2,0.0486816,10,1,1,0.000108091,1.15799e-05,0.0311555
0.000594629,0.542103,2.09582,3.85009,3.43277,2,0.0528018,10,1,1,0.000108091,1.15799e-05,0.0302764
0.000202662,0.542103,2.09582,3.96801,3.48049,2,0.076708,10,1,1,6.74622e-05,1.15799e-05,0.0366445
0.000202662,0.542103,2.38459,3.85106,2.73049,2,0.0783487,10,1,1,6.74622e-05,1.15799e-05,0.0366445
0.000202662,0.542103,2.29097,4.01146,3.20054,2,0.0783487,10,1,1,6.74622e-05,1.15799e-05,0.0340104
0.000202662,0.542103,2.29097,4.10137,2.8989,2,0.0865138,10,1,1,6.74622e-05,1.06053e-05,0.0373906
0.00173892,1.40802,2.29097,3.94045,2.94226,2,0.123694,10,1,1,6.74622e-05,1.06053e-05,0.0392212
0.00421205,1.40802,2.23393,4.19141,2.75928,2,0.10396,10,1,1,6.74622e-05,6.77726e-06,0.0392212
0.00433659,1.02736,2.23393,4.14158,2.45129,2,0.171793,10,1,1,6.74622e-05,6.77726e-06,0.0392212
0.00439569,1.06212,2.23393,3.97335,2.79307,2,0.171793,10,1,1,6.74622e-05,8.81425e-06,0.0397422
0.0038044,0.845043,1.61671,4.09896,2.72788,2,0.25415,10,1,1,7.51777e-05,6.86451e-06,0.0397422
0.00548352,0.845043,1.9858,4.3033,2.66279,2,0.221039,10,1,1,7.51777e-05,6.86451e-06,0.0396845
0.00618824,0.845043,1.9858,4.37816,2.66279,2,0.221039,10,1,1,8.36174e-05,6.84039e-06,0.0382053
0.00618824,0.845043,1.9858,4.33128,3.19538,2,0.229369,10,1,1,8.36174e-05,7.47988e-06,0.0379928
0.00618824,0.845043,1.9858,4.14259,2.76364,2,0.229369,10,1,1,8.36174e-05,1.37814e-05,0.0379928
0.00594823,0.791878,2.17974,4.44893,2.76364,2,0.197574,10,1,1,8.36174e-05,1.33976e-05,0.0379928
0.00586034,0.791878,2.42033,4.24868,2.76364,2,0.200317,10,1,1,8.36174e-05,1.06348e-05,0.0421706
0.00567385,0.791878,2.42033,3.98144,2.76364,2,0.231946,10,1,1,8.36174e-05,1.06348e-05,0.0428798
0.00657393,0.791878,2.42033,3.56383,2.37943,2,0.231946,10,1,1,6.53729e-05,1.06348e-05,0.0428798
0.00644371,0.791878,2.42183,3.43788,2.37943,2,0.241914,10,1,1,6.53729e-05,1.06348e-05,0.0413432
0.00607653,0.791878,2.42183,3.3284,2.94042,2,0.228658,10,1,1,6.53729e-05,9.6887e-06,0.0413432
0.00560864,0.744333,3.14183,3.51503,3.77137,2,0.234606,10,1,1,6.53729e-05,1.08996e-05,0.0413432
0.00560864,0.325837,3.14183,3.51503,3.97163,2,0.185746,10,1,1,6.53729e-05,1.08996e-05,0.0413432
0.00606357,0.325837,3.14183,3.8735,3.43804,2,0.23996,10,1,1,6.53729e-05,1.08996e-05,0.0398245
0.00715112,0.325837,3.14183,3.8735,3.43804,2,0.206483,10,1,1,7.9742e-05,1.08996e-05,0.0398245
0.00630042,1.36133,3.14183,3.68624,3.43804,2,0.196267,10,1,1,7.9742e-05,8.1931e-06,0.0388944
0.00545779,1.58938,3.08156,3.53749,3.29097,2,0.225623,10,1,1,7.9742e-05,8.1931e-06,0.044171
0.00544937,1.06973,3.08156,3.53749,3.29097,2,0.217315,10,1,1,7.9742e-05,7.73552e-06,0.0448635
0.00544937,1.09216,3.08156,3.40843,3.58863,2,0.217315,10,1,1,7.9742e-05,7.15966e-06,0.0448635
0.00544937,1.09216,3.71858,3.40843,3.58863,2,0.199188,10,1,1,6.80908e-05,7.15966e-06,0.0448635
0.00420167,1.09216,3.70677,3.37966,3.58863,2,0.212241,10,1,1,6.80908e-05,7.15966e-06,0.0469435
0.00495664,1.09216,3.70677,3.37966,2.43738,2,0.212241,10,1,1,6.80908e-05,7.15966e-06,0.0469435
0.00388261,0.865741,3.50073,3.37966,3.01827,2,0.210138,10,1,1,6.80908e-05,8.69331e-06,0.0469435
0.00388261,0.865741,3.50073,3.25135,3.03242,2,0.277311,10,1,1,6.80908e-05,5.99748e-06,0.0469435
0.00428782,0.865741,3.65334,2.98252,3.03242,2,0.233773,10,1,1,6.80908e-05,7.13891e-06,0.0469435
0.00405044,0.865741,3.65334,2.95292,4.03188,2,0.244258,10,1,1,6.80908e-05,7.13891e-06,0.0469435
0.00276399,0.865741,3.65334,2.69452,4.03188,2,0.277422,10,1,1,6.81659e-05,1.05441e-05,0.0469435
0.0028856,0.865741,3.65334,2.55621,4.29302,2,0.280612,10,1,1,7.77359e-05,1.05441e-05,0.0469435
0.00267184,0.853992,3.65334,2.55621,3.06212,2,0.247527,10,1,1,7.77359e-05,7.6148e-06,0.0469435
0.00364785,0.853992,3.65334,2.48701,3.06212,2,0.243517,10,1,1,7.77359e-05,7.6148e-06,0.0499411
0.00212595,0.853992,3.65334,2.48701,3.06212,2,0.238358,10,1,1,7.77359e-05,1.11177e-05,0.0473287
0.00335036,0.853992,3.63041,2.31506,3.06212,2,0.274178,10,1,1,7.77359e-05,1.11177e-05,0.0473287
0.00362797,0.853992,4.23309,2.31506,3.06212,2,0.232563,10,1,1,5.75314e-05,1.11177e-05,0.0478532
0.0032769,1.03271,4.23309,2.31506,3.68287,2,0.186626,10,1,1,5.75314e-05,1.11177e-05,0.0478532
0.00293206,1.0529,4.23309,2.62079,4.47206,2,0.194114,10,1,1,5.75314e-05,1.15834e-05,0.0478532
0.001989,1.0529,4.23309,2.62079,3.88123,2,0.181931,10,1,1,6.22169e-05,8.64013e-06,0.0478532
0.00312981,1.0529,4.23309,2.62079,3.54585,2,0.181931,10,1,1,6.22169e-05,7.54463e-06,0.044535
0.00245119,0.953326,4.24647,2.73744,2.81692,2,0.147261,10,1,1,6.22169e-05,7.54463e-06,0.044535
